50
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 
65 61 3 17 31 27 12 72 12 48 0 38 6 91 5 33 24 26 79 16 67 96 21 36 69 67 39 84 9 11 5 52 8 60 59 53 69 36 21 72 5 38 23 3 39 66 18 67 18 54 
73 51 24 86 57 17 27 58 27 58 38 0 84 46 4 73 60 12 60 80 88 53 41 6 27 1 38 87 53 50 100 87 33 99 94 72 52 73 15 58 24 29 39 18 42 64 93 84 72 9 
55 12 42 76 60 26 22 71 27 35 6 84 0 54 22 53 58 38 9 11 82 70 61 38 11 68 44 43 48 79 37 45 97 75 7 69 17 1 19 99 26 20 29 100 59 53 99 62 61 24 
13 96 70 32 41 89 86 91 98 90 91 46 54 0 64 88 67 87 20 99 65 80 48 5 23 93 14 11 33 80 81 47 68 54 79 94 80 8 45 46 79 78 82 24 48 74 68 60 53 85 
71 29 28 85 76 87 99 71 88 48 5 4 22 64 0 71 45 91 72 74 41 39 63 38 75 88 2 73 36 72 99 78 23 23 49 86 69 56 64 98 25 38 100 27 53 71 50 46 59 93 
90 45 66 41 46 9 19 71 2 24 33 73 53 88 71 0 56 51 4 89 87 24 56 24 80 33 51 29 9 78 33 18 83 36 7 38 41 67 30 19 82 92 79 4 59 32 66 87 34 68 
37 84 36 27 86 39 54 30 25 49 24 60 58 67 45 56 0 63 46 78 22 19 76 65 11 57 29 35 65 74 88 30 11 44 72 12 32 42 53 39 31 57 92 49 80 48 90 52 56 49 
57 53 37 39 83 56 16 32 31 42 26 12 38 87 91 51 63 0 82 33 63 67 93 71 53 75 12 42 98 94 85 17 42 89 67 5 34 89 65 45 34 96 24 52 3 12 33 66 66 70 
90 49 83 54 75 21 3 24 32 70 79 60 9 20 72 4 46 82 0 57 22 60 62 9 83 48 51 19 44 21 41 75 32 54 97 78 80 82 70 73 24 61 44 71 84 70 20 2 27 31 
83 55 86 11 85 75 81 16 52 42 16 80 11 99 74 89 78 33 57 0 65 99 55 69 92 22 50 4 50 98 18 92 88 33 98 7 64 69 71 64 95 2 35 37 91 99 82 41 2 12 
68 29 80 65 22 6 27 17 17 27 67 88 82 65 41 87 22 63 22 65 0 87 99 82 96 84 93 68 16 27 7 70 6 48 21 69 60 16 6 29 31 94 44 59 3 99 4 10 35 15 
9 49 92 13 32 15 40 59 23 5 96 53 70 80 39 24 19 67 60 99 87 0 47 86 65 23 55 66 42 77 71 13 80 81 95 23 54 97 48 65 47 33 50 68 69 4 31 98 60 91 
19 98 29 52 17 31 50 26 59 30 21 41 61 48 63 56 76 93 62 55 99 47 0 53 75 32 70 39 90 91 42 47 22 27 30 14 37 26 95 2 88 37 3 57 23 53 29 84 94 28 
38 37 38 79 94 37 15 65 92 50 36 6 38 5 38 24 65 71 9 69 82 86 53 0 65 77 82 82 1 83 83 94 39 79 89 1 96 10 88 24 46 81 8 6 96 80 32 51 49 44 
10 1 96 74 90 62 73 69 59 32 69 27 11 23 75 80 11 53 83 92 96 65 75 65 0 84 66 58 13 79 50 92 52 51 10 43 66 13 27 91 6 76 3 32 36 54 90 59 74 5 
9 24 60 35 5 87 20 59 46 7 67 1 68 93 88 33 57 75 48 22 84 23 32 77 84 0 68 51 49 60 24 16 48 2 85 38 75 37 77 5 17 8 42 63 9 44 53 22 93 100 
27 72 98 13 4 28 9 46 9 86 39 38 44 14 2 51 29 12 51 50 93 55 70 82 66 68 0 15 24 19 59 50 9 62 70 39 21 56 24 2 51 85 88 20 62 23 31 76 94 75 
83 59 27 88 71 29 52 59 14 61 84 87 43 11 73 29 35 42 19 4 68 66 39 82 58 51 15 0 52 90 6 58 47 100 79 89 36 63 41 28 90 75 47 76 43 89 73 82 34 96 
11 100 38 93 83 29 53 70 45 95 9 53 48 33 36 9 65 98 44 50 16 42 90 1 13 49 24 52 0 60 22 41 77 56 18 56 81 44 80 98 39 20 92 57 95 64 65 88 38 7 
61 35 41 98 86 30 41 6 92 93 11 50 79 80 72 78 74 94 21 98 27 77 91 83 79 60 19 90 60 0 96 53 60 64 16 90 77 43 91 93 64 91 38 32 100 35 8 72 4 59 
17 33 53 42 55 14 63 97 61 16 5 100 37 81 99 33 88 85 41 18 7 71 42 83 50 24 59 6 22 96 0 37 90 17 27 48 56 22 89 72 36 77 14 96 89 51 96 88 91 90 
73 44 30 15 69 56 92 74 23 49 52 87 45 47 78 18 30 17 75 92 70 13 47 94 92 16 50 58 41 53 37 0 23 74 85 82 26 23 11 64 98 42 1 45 79 23 29 100 12 59 
46 71 76 90 51 50 34 66 15 83 8 33 97 68 23 83 11 42 32 88 6 80 22 39 52 48 9 47 77 60 90 23 0 62 69 94 72 13 72 2 10 52 17 92 43 41 82 5 95 10 
97 82 22 56 48 25 19 36 77 75 60 99 75 54 23 36 44 89 54 33 48 81 27 79 51 2 62 100 56 64 17 74 62 0 7 85 9 49 46 64 31 30 91 4 58 12 91 80 69 90 
48 91 72 6 73 33 90 21 66 32 59 94 7 79 49 7 72 67 97 98 21 95 30 89 10 85 70 79 18 16 27 85 69 7 0 88 60 19 22 22 25 91 63 89 42 93 11 39 28 48 
32 68 88 45 87 8 61 28 75 32 53 72 69 94 86 38 12 5 78 7 69 23 14 1 43 38 39 89 56 90 48 82 94 85 88 0 57 69 71 66 9 75 36 16 48 52 78 1 99 41 
73 7 57 44 94 81 81 69 12 14 69 52 17 80 69 41 32 34 80 64 60 54 37 96 66 75 21 36 81 77 56 26 72 9 60 57 0 18 84 22 38 73 27 51 70 81 72 31 90 19 
41 77 59 94 41 47 75 74 98 81 36 73 1 8 56 67 42 89 82 69 16 97 26 10 13 37 56 63 44 43 22 23 13 49 19 69 18 0 90 46 75 92 11 20 46 78 37 62 49 65 
62 82 53 54 34 30 88 43 54 84 21 15 19 45 64 30 53 65 70 71 6 48 95 88 27 77 24 41 80 91 89 11 72 46 22 71 84 90 0 11 21 90 78 73 81 17 60 19 80 76 
94 91 63 66 2 6 8 68 70 35 72 58 99 46 98 19 39 45 73 64 29 65 2 24 91 5 2 28 98 93 72 64 2 64 22 66 22 46 11 0 73 88 83 92 14 77 44 6 48 27 
9 55 23 8 46 39 45 91 40 55 5 24 26 79 25 82 31 34 24 95 31 47 88 46 6 17 51 90 39 64 36 98 10 31 25 9 38 75 21 73 0 91 61 84 65 79 41 41 50 90 
42 33 85 80 80 84 68 37 26 19 38 29 20 78 38 92 57 96 61 2 94 33 37 81 76 8 85 75 20 91 77 42 52 30 91 75 73 92 90 88 91 0 90 34 11 21 34 29 32 4 
96 40 69 99 84 40 16 22 94 27 23 39 29 82 100 79 92 24 44 35 44 50 3 8 3 42 88 47 92 38 14 1 17 91 63 36 27 11 78 83 61 90 0 76 62 16 38 60 70 67 
89 12 46 68 26 68 90 43 64 48 3 18 100 24 27 4 49 52 71 37 59 68 57 6 32 63 20 76 57 32 96 45 92 4 89 16 51 20 73 92 84 34 76 0 86 49 94 23 76 13 
34 94 91 4 51 34 23 72 12 91 39 42 59 48 53 59 80 3 84 91 3 69 23 96 36 9 62 43 95 100 89 79 43 58 42 48 70 46 81 14 65 11 62 86 0 99 31 99 99 41 
55 30 53 75 50 31 45 45 50 19 66 64 53 74 71 32 48 12 70 99 99 4 53 80 54 44 23 89 64 35 51 23 41 12 93 52 81 78 17 77 79 21 16 49 99 0 75 61 50 71 
3 63 21 71 23 74 42 87 89 18 18 93 99 68 50 66 90 33 20 82 4 31 29 32 90 53 31 73 65 8 96 29 82 91 11 78 72 37 60 44 41 34 38 94 31 75 0 99 37 77 
91 63 8 98 52 24 91 18 41 4 67 84 62 60 46 87 52 66 2 41 10 98 84 51 59 22 76 82 88 72 88 100 5 80 39 1 31 62 19 6 41 29 60 23 99 61 99 0 100 96 
68 94 97 62 47 39 71 39 77 56 18 72 61 53 59 34 56 66 27 2 35 60 94 49 74 93 94 34 38 4 91 12 95 69 28 99 90 49 80 48 50 32 70 76 99 50 37 100 0 42 
32 55 62 35 86 68 17 94 5 67 54 9 24 85 93 68 49 70 31 12 15 91 28 44 5 100 75 96 7 59 90 59 10 90 48 41 19 65 76 27 90 4 67 13 41 71 77 96 42 0 
