100
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 city50 city51 city52 city53 city54 city55 city56 city57 city58 city59 city60 city61 city62 city63 city64 city65 city66 city67 city68 city69 city70 city71 city72 city73 city74 city75 city76 city77 city78 city79 city80 city81 city82 city83 city84 city85 city86 city87 city88 city89 city90 city91 city92 city93 city94 city95 city96 city97 city98 city99 
19 98 29 52 17 31 50 26 59 30 21 0 27 38 53 100 33 94 52 15 24 39 42 93 72 3 8 42 84 15 84 1 82 47 85 59 86 66 2 73 55 100 67 73 3 65 45 43 74 36 33 69 94 60 84 15 12 39 16 3 80 38 52 28 68 34 7 38 73 28 65 71 31 88 23 46 36 33 2 68 13 6 67 9 30 94 31 18 17 68 72 40 2 30 10 25 35 61 89 38 
10 1 96 74 90 62 73 69 59 32 69 27 0 44 48 37 97 7 17 19 26 29 59 99 61 78 94 99 61 96 41 56 33 26 53 91 100 40 13 69 94 68 59 58 88 65 55 5 87 99 76 45 28 88 11 48 12 55 90 71 24 36 82 59 70 57 87 36 69 49 35 40 19 32 46 85 22 79 62 46 13 52 7 36 99 55 52 66 4 38 39 28 81 85 20 42 99 85 73 70 
27 72 98 13 4 28 9 46 9 86 39 38 44 0 33 81 68 79 80 45 79 82 48 68 53 63 85 43 54 42 96 72 57 14 87 76 93 7 77 75 96 9 13 71 18 15 44 24 69 93 37 27 70 44 59 63 94 73 82 38 10 100 72 72 66 52 88 31 4 25 77 58 33 40 75 34 78 22 56 68 23 8 47 3 99 95 3 7 49 24 57 98 86 48 28 48 1 92 39 8 
11 100 38 93 83 29 53 70 45 95 9 53 48 33 0 99 23 49 69 64 25 100 53 50 59 25 45 3 6 37 67 71 11 25 70 11 14 10 65 77 81 45 57 21 64 47 25 53 98 17 39 37 94 48 73 55 6 9 75 99 58 17 26 7 4 92 72 83 65 93 16 69 14 40 89 1 79 17 67 40 38 31 75 36 79 5 51 21 1 46 66 73 3 69 63 48 83 100 14 36 
17 33 53 42 55 14 63 97 61 16 5 100 37 81 99 0 83 7 41 30 82 79 59 66 34 66 60 22 92 68 34 53 73 30 49 33 13 93 58 38 39 70 19 55 54 91 100 26 80 83 59 67 34 85 96 77 82 57 60 78 42 91 29 6 74 35 91 16 46 19 19 57 91 53 23 100 81 63 28 64 75 4 9 42 28 43 89 13 42 4 37 79 74 40 49 20 17 92 34 67 
46 71 76 90 51 50 34 66 15 83 8 33 97 68 23 83 0 72 32 53 31 92 80 90 56 73 22 5 60 29 10 76 83 96 38 90 83 100 71 34 68 82 2 60 27 26 23 12 25 30 81 93 32 90 7 55 52 72 51 99 86 68 74 2 92 32 73 81 50 1 85 86 62 31 78 68 35 88 14 1 92 48 47 87 26 25 48 5 61 95 70 90 54 100 80 82 86 41 49 93 
48 91 72 6 73 33 90 21 66 32 59 94 7 79 49 7 72 0 34 65 34 24 3 33 66 33 59 47 87 54 58 32 2 4 98 97 84 76 39 42 21 80 43 81 96 56 22 43 29 17 86 89 93 69 15 59 61 48 47 52 78 7 55 35 17 23 19 22 51 45 48 93 33 75 20 98 12 9 63 75 9 53 71 94 61 70 73 3 74 87 25 73 95 16 44 83 94 91 32 83 
73 7 57 44 94 81 81 69 12 14 69 52 17 80 69 41 32 34 0 70 24 44 84 20 27 86 44 57 88 10 18 41 7 95 25 51 52 37 13 46 46 9 77 99 96 64 34 25 61 60 14 39 36 89 53 22 99 4 61 89 24 22 10 71 50 80 74 26 47 32 49 23 36 82 84 10 30 39 81 45 19 56 21 21 70 82 91 98 24 35 87 94 28 23 32 90 54 7 51 50 
62 82 53 54 34 30 88 43 54 84 21 15 19 45 64 30 53 65 70 0 95 35 91 82 2 29 69 10 30 74 35 35 36 94 69 13 30 62 45 19 84 8 7 92 14 68 14 50 59 59 85 66 27 99 85 85 72 12 28 64 73 76 31 56 16 3 54 53 43 87 48 34 18 43 67 42 54 31 19 100 52 85 67 15 81 44 20 37 90 53 73 59 89 43 52 6 25 14 97 7 
9 55 23 8 46 39 45 91 40 55 5 24 26 79 25 82 31 34 24 95 0 44 3 4 35 47 78 34 43 82 54 41 61 68 28 23 38 48 62 16 66 60 3 61 7 93 18 36 26 84 54 13 43 81 6 89 43 75 34 54 29 21 39 8 19 77 82 5 45 96 56 36 46 19 6 32 31 6 29 26 78 36 70 45 24 28 18 44 33 76 3 100 55 13 52 4 22 99 60 95 
96 40 69 99 84 40 16 22 94 27 23 39 29 82 100 79 92 24 44 35 44 0 69 31 60 90 20 9 18 4 36 87 72 88 49 30 34 19 81 75 97 7 85 11 71 32 94 91 68 100 28 48 81 80 13 67 95 20 22 6 36 93 92 100 44 81 63 47 56 9 33 84 22 1 95 100 9 91 90 81 24 95 79 58 48 2 94 17 24 42 53 79 3 8 97 50 49 24 10 25 
34 94 91 4 51 34 23 72 12 91 39 42 59 48 53 59 80 3 84 91 3 69 0 29 94 79 58 62 46 70 59 35 28 41 94 73 1 14 1 53 34 50 24 92 60 20 74 47 13 36 86 47 17 8 22 17 85 8 62 42 50 66 40 31 89 70 97 13 60 54 82 28 19 1 47 99 31 100 14 18 53 47 28 13 3 3 61 79 88 26 72 67 67 32 99 91 12 91 30 45 
3 63 21 71 23 74 42 87 89 18 18 93 99 68 50 66 90 33 20 82 4 31 29 0 49 84 42 34 57 17 94 49 38 80 83 37 65 28 44 47 91 76 71 68 6 81 61 29 35 58 27 60 62 14 42 57 36 6 19 68 18 48 54 76 98 89 14 5 69 98 38 100 6 35 25 75 49 70 42 25 12 91 39 5 66 24 57 7 79 2 81 11 69 49 80 92 76 63 18 71 
68 94 97 62 47 39 71 39 77 56 18 72 61 53 59 34 56 66 27 2 35 60 94 49 0 26 92 87 89 84 44 40 44 42 72 78 84 13 57 57 33 27 13 34 97 19 76 56 53 71 71 53 18 61 76 81 1 100 47 63 10 59 49 4 12 30 52 46 86 93 28 62 34 7 42 88 33 8 24 50 31 37 85 97 83 39 93 25 40 56 26 43 48 55 39 69 44 26 25 60 
52 10 88 84 86 91 51 87 56 82 29 3 78 63 25 66 73 33 86 29 47 90 79 84 26 0 65 5 53 68 94 66 69 26 70 54 58 97 62 25 90 25 51 76 34 29 75 5 70 72 37 72 8 48 91 30 56 89 51 56 44 85 68 40 92 86 16 26 2 22 97 91 22 81 90 60 42 54 97 87 90 48 60 92 24 62 94 16 4 5 81 96 72 72 7 46 4 22 7 34 
25 82 1 62 63 3 49 96 85 17 38 8 94 85 45 60 22 59 44 69 78 20 58 42 92 65 0 86 55 86 67 97 34 35 94 77 69 10 48 67 40 8 76 37 24 49 86 42 63 43 82 57 21 47 26 38 56 62 64 82 68 32 55 95 75 3 5 45 69 20 60 36 47 91 99 63 71 14 32 75 2 6 68 7 56 35 100 74 38 79 9 68 38 91 92 18 24 96 22 57 
9 33 79 15 88 40 75 21 28 55 89 42 99 43 3 22 5 47 57 10 34 9 62 34 87 5 86 0 67 3 52 13 96 61 78 71 11 42 40 82 84 75 12 100 53 21 2 10 71 81 71 11 46 72 12 30 24 46 62 96 66 30 78 89 64 11 86 50 48 8 25 1 71 24 98 46 17 57 41 58 16 8 79 27 88 2 33 61 91 92 100 78 34 10 2 46 17 47 90 94 
24 30 90 67 88 57 33 71 40 67 23 84 61 54 6 92 60 87 88 30 43 18 46 57 89 53 55 67 0 31 41 63 72 1 15 86 69 31 9 45 18 85 51 76 80 80 23 82 12 78 50 58 67 83 68 90 51 36 47 19 91 83 91 65 26 28 34 95 7 72 100 80 89 100 67 30 64 86 32 86 88 79 31 17 8 6 50 79 64 34 38 55 13 59 14 68 24 79 26 92 
62 92 62 31 99 70 92 1 80 18 18 15 96 42 37 68 29 54 10 74 82 4 70 17 84 68 86 3 31 0 95 53 4 8 5 53 9 91 91 41 30 29 96 91 20 92 9 80 36 7 49 67 22 45 83 44 89 93 59 73 92 6 98 74 8 75 65 30 88 23 54 74 95 69 61 60 19 84 36 16 29 59 22 84 10 1 74 37 78 61 68 55 63 26 82 71 86 55 39 23 
61 9 83 63 7 79 80 98 88 39 70 84 41 96 67 34 10 58 18 35 54 36 59 94 44 94 67 52 41 95 0 32 43 22 85 52 42 35 53 35 54 47 89 77 27 67 96 3 91 96 78 51 83 43 84 5 40 33 95 95 70 63 57 49 71 61 5 33 36 62 2 7 9 86 92 25 16 49 33 59 30 82 92 34 31 33 44 20 2 26 29 93 21 28 52 39 4 2 10 6 
30 12 12 55 81 54 94 22 86 29 44 1 56 72 71 53 76 32 41 35 41 87 35 49 40 66 97 13 63 53 32 0 12 93 44 98 33 16 80 97 80 46 21 57 94 88 27 84 12 87 100 71 83 49 88 2 11 77 72 71 39 90 74 59 22 100 38 10 10 92 42 86 28 35 74 68 85 94 83 76 22 47 91 12 92 57 34 9 4 27 13 3 2 69 70 87 13 24 70 88 
79 46 41 34 86 1 69 95 34 86 49 82 33 57 11 73 83 2 7 36 61 72 28 38 44 69 34 96 72 4 43 12 0 94 96 52 38 87 19 77 14 82 2 73 86 9 21 93 65 4 36 46 7 37 94 85 18 68 46 39 5 24 90 81 28 43 54 17 65 53 5 46 36 56 66 67 10 100 83 31 88 100 94 77 12 37 45 89 14 26 32 27 56 65 87 26 18 14 82 58 
71 91 74 28 14 55 97 73 51 42 42 47 26 14 25 30 96 4 95 94 68 88 41 80 42 26 35 61 1 8 22 93 94 0 12 2 85 24 20 28 1 15 84 4 66 27 92 33 51 53 74 26 92 54 51 21 33 4 3 22 77 71 63 88 59 56 85 30 34 52 30 10 78 45 6 69 75 63 51 83 64 23 45 6 45 11 57 83 31 91 85 95 86 56 78 3 85 99 40 99 
33 52 38 15 64 52 20 91 18 84 19 85 53 87 70 49 38 98 25 69 28 49 94 83 72 70 94 78 15 5 85 44 96 12 0 36 100 67 8 6 53 50 99 87 72 26 89 13 61 19 38 49 71 50 80 88 49 68 47 46 13 43 37 65 37 94 34 62 52 24 16 37 76 45 7 28 42 7 45 12 28 93 10 66 45 18 87 22 15 90 94 46 87 6 43 83 70 47 8 29 
57 18 28 56 3 87 69 99 80 12 90 59 91 76 11 33 90 97 51 13 23 30 73 37 78 54 77 71 86 53 52 98 52 2 36 0 2 45 85 19 46 69 93 68 45 60 30 100 46 36 52 75 16 89 69 37 11 100 21 24 92 83 30 14 76 66 73 34 41 66 66 82 6 9 39 95 86 67 53 38 89 14 8 7 76 94 26 17 100 8 59 75 18 90 42 96 8 88 30 47 
89 16 9 11 41 100 98 8 55 5 38 86 100 93 14 13 83 84 52 30 38 34 1 65 84 58 69 11 69 9 42 33 38 85 100 2 0 37 48 92 62 39 49 16 8 19 73 62 68 86 32 75 96 24 75 53 96 55 55 44 94 97 89 14 22 29 22 31 26 57 51 40 51 1 97 50 9 36 58 71 78 9 41 99 90 78 65 24 99 36 41 49 42 8 56 29 67 79 14 21 
43 38 7 68 54 94 6 47 10 25 55 66 40 7 10 93 100 76 37 62 48 19 14 28 13 97 10 42 31 91 35 16 87 24 67 45 37 0 78 42 52 8 85 43 72 21 78 48 55 29 18 44 44 26 85 83 20 68 54 66 10 81 40 53 77 73 45 47 25 81 33 100 43 20 19 97 61 20 2 63 15 53 24 19 6 93 1 13 4 48 88 84 64 56 36 56 5 13 55 98 
40 27 96 7 15 51 87 80 77 23 80 2 13 77 65 58 71 39 13 45 62 81 1 44 57 62 48 40 9 91 53 80 19 20 8 85 48 78 0 66 19 94 46 96 88 36 94 6 88 79 34 30 64 52 30 29 49 13 61 19 21 70 86 71 100 85 71 33 47 62 84 2 55 19 63 43 49 72 69 92 47 42 23 20 57 11 33 87 99 20 89 45 49 97 59 97 85 19 86 30 
56 88 25 23 40 42 49 5 35 69 42 73 69 75 77 38 34 42 46 19 16 75 53 47 57 25 67 82 45 41 35 97 77 28 6 19 92 42 66 0 64 5 88 67 100 15 9 91 18 61 72 37 72 91 36 67 90 15 87 36 98 73 42 79 20 27 58 84 1 66 20 8 19 50 45 24 86 65 34 29 76 92 48 92 25 91 23 71 18 84 78 82 33 24 100 21 82 83 51 75 
67 17 89 26 2 11 51 83 22 94 39 55 94 96 81 39 68 21 46 84 66 97 34 91 33 90 40 84 18 30 54 80 14 1 53 46 62 52 19 64 0 6 63 57 20 57 55 70 66 2 77 64 93 40 61 73 72 30 20 38 63 16 68 67 42 99 89 74 39 24 97 96 91 48 27 97 79 100 74 62 83 77 51 25 18 9 46 67 91 15 60 76 68 42 62 42 66 85 94 90 
100 100 21 21 37 85 13 16 54 86 42 100 68 9 45 70 82 80 9 8 60 7 50 76 27 25 8 75 85 29 47 46 82 15 50 69 39 8 94 5 6 0 44 87 97 48 23 60 43 50 30 17 36 47 6 94 52 94 36 100 29 52 21 5 12 24 30 40 32 1 40 20 25 81 16 18 2 9 95 13 32 25 26 68 57 76 54 43 69 29 60 71 54 50 81 14 73 15 50 60 
84 48 41 86 65 24 38 54 69 31 56 67 59 13 57 19 2 43 77 7 3 85 24 71 13 51 76 12 51 96 89 21 2 84 99 93 49 85 46 88 63 44 0 38 16 57 77 29 89 65 32 59 18 63 12 59 96 78 17 100 1 37 61 17 13 2 98 81 22 29 79 85 80 100 94 12 72 48 20 97 40 58 63 51 49 90 10 69 75 14 31 48 47 35 75 47 31 57 95 65 
97 87 12 77 48 22 3 46 3 65 40 73 58 71 21 55 60 81 99 92 61 11 92 68 34 76 37 100 76 91 77 57 73 4 87 68 16 43 96 67 57 87 38 0 53 35 38 40 74 86 45 35 13 76 93 80 24 55 14 93 60 56 48 50 10 88 41 36 18 36 39 28 66 49 24 69 6 15 27 77 20 9 83 35 61 70 96 59 93 49 31 19 14 85 85 79 61 20 3 80 
79 7 28 14 24 72 28 74 62 74 35 3 88 18 64 54 27 96 96 14 7 71 60 6 97 34 24 53 80 20 27 94 86 66 72 45 8 72 88 100 20 97 16 53 0 61 17 29 16 27 43 2 82 25 25 84 38 13 36 55 43 75 82 78 36 89 24 88 25 54 42 56 55 85 70 49 2 15 84 1 70 47 70 96 81 92 48 77 49 27 77 99 95 27 39 28 88 59 9 73 
14 33 93 83 68 21 59 75 88 95 84 65 65 15 47 91 26 56 64 68 93 32 20 81 19 29 49 21 80 92 67 88 9 27 26 60 19 21 36 15 57 48 57 35 61 0 4 81 80 58 68 62 68 79 51 88 50 32 93 25 41 78 83 38 64 98 2 71 85 13 4 61 72 20 25 82 97 13 34 59 48 59 41 76 51 40 9 63 7 41 41 68 8 87 14 4 16 28 35 70 
97 27 83 3 76 17 66 53 60 56 18 45 55 44 25 100 23 22 34 14 18 94 74 61 76 75 86 2 23 9 96 27 21 92 89 30 73 78 94 9 55 23 77 38 17 4 0 72 38 38 1 56 22 86 17 24 1 90 19 32 90 55 7 38 31 53 44 90 16 83 7 34 23 33 19 34 73 8 83 72 63 33 2 76 89 36 20 47 85 28 39 95 76 12 57 25 46 31 28 9 
7 84 46 75 92 89 39 65 5 78 54 43 5 24 53 26 12 43 25 50 36 91 47 29 56 5 42 10 82 80 3 84 93 33 13 100 62 48 6 91 70 60 29 40 29 81 72 0 89 42 29 16 53 4 61 98 8 27 66 67 95 30 90 60 15 76 77 30 45 77 21 53 45 41 70 75 10 23 13 92 7 64 56 95 67 7 35 82 49 10 92 73 67 23 94 87 94 2 73 18 
1 69 24 48 97 67 31 66 53 1 18 74 87 69 98 80 25 29 61 59 26 68 13 35 53 70 63 71 12 36 91 12 65 51 61 46 68 55 88 18 66 43 89 74 16 80 38 89 0 39 17 75 23 82 2 97 35 48 71 30 43 83 85 33 37 51 32 61 53 58 71 1 68 89 73 89 32 28 37 49 61 28 6 88 68 40 37 54 27 67 61 68 30 70 74 87 22 27 8 64 
67 86 40 19 8 69 55 51 33 100 21 36 99 93 17 83 30 17 60 59 84 100 36 58 71 72 43 81 78 7 96 87 4 53 19 36 86 29 79 61 2 50 65 86 27 58 38 42 39 0 35 83 29 78 60 95 85 100 37 23 21 52 4 56 84 79 1 22 20 90 50 4 10 71 71 85 88 93 26 23 53 32 27 66 79 74 24 5 68 66 77 39 83 59 72 66 43 93 97 23 
42 98 46 55 59 59 95 92 42 38 1 33 76 37 39 59 81 86 14 85 54 28 86 27 71 37 82 71 50 49 78 100 36 74 38 52 32 18 34 72 77 30 32 45 43 68 1 29 17 35 0 40 31 51 10 2 78 90 26 57 87 70 61 6 33 56 49 98 71 93 6 89 11 98 62 69 71 21 53 99 6 42 88 63 74 70 45 39 36 66 61 92 9 12 32 98 66 67 43 19 
81 71 91 13 1 65 76 85 83 12 7 69 45 27 37 67 93 89 39 66 13 48 47 60 53 72 57 11 58 67 51 71 46 26 49 75 75 44 30 37 64 17 59 35 2 62 56 16 75 83 40 0 30 49 24 54 13 75 47 19 47 38 63 27 89 94 14 90 68 100 25 99 73 34 16 69 26 100 13 51 62 80 64 40 44 74 83 98 8 88 95 90 3 1 53 69 50 25 73 84 
18 93 31 19 49 57 91 83 44 40 2 94 28 70 94 34 32 93 36 27 43 81 17 62 18 8 21 46 67 22 83 83 7 92 71 16 96 44 64 72 93 36 18 13 82 68 22 53 23 29 31 30 0 71 68 21 42 37 45 76 65 2 33 38 40 31 54 64 20 77 79 76 53 41 26 26 85 99 25 59 21 38 80 9 49 45 91 23 78 74 29 69 95 5 54 17 59 45 51 78 
16 53 55 83 34 89 56 61 46 24 43 60 88 44 48 85 90 69 89 99 81 80 8 14 61 48 47 72 83 45 43 49 37 54 50 89 24 26 52 91 40 47 63 76 25 79 86 4 82 78 51 49 71 0 1 4 5 13 13 93 87 77 93 67 6 7 12 45 75 62 88 70 75 23 30 5 3 72 46 29 81 1 67 61 33 28 76 96 72 77 38 61 72 86 100 19 49 56 9 21 
70 53 36 72 45 31 83 62 96 52 67 84 11 59 73 96 7 15 53 85 6 13 22 42 76 91 26 12 68 83 84 88 94 51 80 69 75 85 30 36 61 6 12 93 25 51 17 61 2 60 10 24 68 1 0 73 97 88 83 11 72 5 44 15 71 32 94 22 88 43 85 5 78 46 95 45 28 87 97 46 42 38 79 83 77 96 47 12 6 51 54 13 7 4 24 45 67 3 20 79 
67 38 49 49 5 49 66 22 34 76 42 15 48 63 55 77 55 59 22 85 89 67 17 57 81 30 38 30 90 44 5 2 85 21 88 37 53 83 29 67 73 94 59 80 84 88 24 98 97 95 2 54 21 4 73 0 63 58 16 62 44 74 64 56 41 90 33 6 31 32 30 91 98 41 38 22 47 93 3 43 51 10 46 87 64 37 40 16 31 54 86 1 99 63 1 5 71 20 22 55 
23 57 68 61 99 44 35 42 20 53 63 12 12 94 6 82 52 61 99 72 43 95 85 36 1 56 56 24 51 89 40 11 18 33 49 11 96 20 49 90 72 52 96 24 38 50 1 8 35 85 78 13 42 5 97 63 0 4 6 33 67 62 24 91 69 66 52 16 46 61 40 44 71 28 96 61 89 53 74 39 40 51 10 96 99 96 49 88 21 54 40 13 56 9 37 64 97 89 84 65 
57 82 96 87 30 32 79 60 53 90 59 39 55 73 9 57 72 48 4 12 75 20 8 6 100 89 62 46 36 93 33 77 68 4 68 100 55 68 13 15 30 94 78 55 13 32 90 27 48 100 90 75 37 13 88 58 4 0 27 29 75 98 12 47 92 22 15 14 17 1 99 58 42 51 31 12 53 18 59 61 39 55 87 23 36 3 66 22 46 30 28 35 45 23 1 80 94 85 28 48 
51 29 29 23 69 86 75 85 52 85 38 16 90 82 75 60 51 47 61 28 34 22 62 19 47 51 64 62 47 59 95 72 46 3 47 21 55 54 61 87 20 36 17 14 36 93 19 66 71 37 26 47 45 13 83 16 6 27 0 23 46 96 41 83 29 28 100 35 45 39 74 58 68 83 50 23 98 25 6 74 25 41 7 36 17 17 63 38 59 10 29 78 45 41 67 16 4 22 74 4 
94 86 17 9 89 100 26 97 70 32 15 3 71 38 99 78 99 52 89 64 54 6 42 68 63 56 82 96 19 73 95 71 39 22 46 24 44 66 19 36 38 100 100 93 55 25 32 67 30 23 57 19 76 93 11 62 33 29 23 0 89 26 93 36 86 65 17 100 100 81 39 20 42 48 1 52 90 89 78 78 52 98 21 49 58 8 69 5 60 44 97 76 25 2 93 73 68 57 6 25 
74 32 5 84 92 23 11 88 65 69 95 80 24 10 58 42 86 78 24 73 29 36 50 18 10 44 68 66 91 92 70 39 5 77 13 92 94 10 21 98 63 29 1 60 43 41 90 95 43 21 87 47 65 87 72 44 67 75 46 89 0 86 44 94 38 41 13 38 63 21 16 76 18 100 2 1 96 94 59 94 6 28 44 60 81 23 20 79 99 1 5 18 79 38 47 44 84 36 45 27 
84 86 87 21 58 3 40 7 77 25 53 38 36 100 17 91 68 7 22 76 21 93 66 48 59 85 32 30 83 6 63 90 24 71 43 83 97 81 70 73 16 52 37 56 75 78 55 30 83 52 70 38 2 77 5 74 62 98 96 26 86 0 71 37 21 14 35 16 86 46 3 50 69 51 95 43 99 90 12 96 41 80 7 20 67 65 70 41 43 72 69 91 2 13 65 8 61 69 59 64 
74 49 11 97 42 92 67 90 21 56 49 52 82 72 26 29 74 55 10 31 39 92 40 54 49 68 55 78 91 98 57 74 90 63 37 30 89 40 86 42 68 21 61 48 82 83 7 90 85 4 61 63 33 93 44 64 24 12 41 93 44 71 0 47 25 90 50 65 16 30 42 91 66 31 62 31 52 89 82 5 90 47 43 39 62 49 83 65 9 12 97 48 32 48 4 18 15 100 76 92 
78 72 23 64 60 41 69 83 49 67 91 28 59 72 7 6 2 35 71 56 8 100 31 76 4 40 95 89 65 74 49 59 81 88 65 14 14 53 71 79 67 5 17 50 78 38 38 60 33 56 6 27 38 67 15 56 91 47 83 36 94 37 47 0 98 11 53 59 22 69 86 47 22 97 4 26 19 15 51 14 26 40 62 67 92 9 14 67 78 79 76 91 41 20 82 27 45 11 45 93 
60 4 7 92 94 97 84 51 58 36 13 68 70 66 4 74 92 17 50 16 19 44 89 98 12 92 75 64 26 8 71 22 28 59 37 76 22 77 100 20 42 12 13 10 36 64 31 15 37 84 33 89 40 6 71 41 69 92 29 86 38 21 25 98 0 89 13 12 3 42 64 99 56 5 93 31 74 97 71 33 83 39 84 74 34 73 88 95 67 64 14 41 4 92 53 18 16 14 92 93 
53 30 41 61 47 28 45 23 37 74 55 34 57 52 92 35 32 23 80 3 77 81 70 89 30 86 3 11 28 75 61 100 43 56 94 66 29 73 85 27 99 24 2 88 89 98 53 76 51 79 56 94 31 7 32 90 66 22 28 65 41 14 90 11 89 0 42 84 42 63 12 68 28 32 60 52 58 69 81 26 5 82 39 51 30 9 41 32 34 89 84 6 26 49 10 81 15 9 35 55 
