75
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 city50 city51 city52 city53 city54 city55 city56 city57 city58 city59 city60 city61 city62 city63 city64 city65 city66 city67 city68 city69 city70 city71 city72 city73 city74 
90 49 83 54 75 21 3 24 32 70 79 60 0 96 70 65 11 87 43 79 37 95 75 91 17 15 99 75 29 20 53 37 61 65 47 53 99 6 67 46 41 1 89 62 26 21 69 17 100 99 29 78 69 62 81 8 59 86 14 72 65 75 64 48 87 55 24 18 45 54 89 26 11 25 33 
64 29 85 79 1 72 86 75 72 34 68 54 96 0 80 58 23 78 11 32 81 81 54 100 80 51 46 21 82 73 74 60 53 76 4 94 43 41 94 65 96 1 55 35 14 45 22 17 93 86 37 76 75 61 66 94 13 53 39 88 15 34 35 6 69 73 100 34 27 72 78 52 59 12 81 
9 49 92 13 32 15 40 59 23 5 96 53 70 80 0 63 75 70 73 45 99 98 23 86 69 91 98 73 100 92 71 44 59 27 32 42 3 84 65 39 67 59 14 59 25 19 59 29 14 48 5 14 77 85 47 5 57 22 18 100 47 16 73 91 98 35 32 72 37 56 14 91 73 68 68 
70 39 64 76 16 22 76 16 29 35 71 6 65 58 63 0 80 44 29 41 33 66 36 87 41 36 19 94 79 84 32 41 34 90 16 30 22 63 76 72 34 77 80 27 30 26 58 12 13 85 1 10 38 30 41 6 19 61 22 20 91 57 49 70 80 17 50 77 67 90 3 40 96 66 67 
10 1 96 74 90 62 73 69 59 32 69 27 11 23 75 80 0 35 35 88 88 66 44 100 32 60 39 56 92 34 48 34 56 4 40 49 5 10 1 48 10 55 70 7 96 20 48 26 83 93 24 72 34 35 98 98 2 83 46 97 26 57 54 60 25 51 43 30 93 26 59 47 7 41 91 
49 24 83 19 77 21 12 83 57 91 26 25 87 78 70 44 35 0 42 100 85 14 89 21 34 70 45 35 24 76 12 38 66 67 59 28 47 8 13 16 58 36 67 92 4 85 83 39 84 26 65 43 42 51 43 18 43 37 92 16 56 63 4 29 29 94 7 32 89 30 3 63 15 80 69 
83 59 27 88 71 29 52 59 14 61 84 87 43 11 73 29 35 42 0 26 41 62 54 11 80 96 73 62 44 43 70 94 27 13 30 99 57 39 1 93 18 31 80 44 95 75 39 97 52 97 12 40 46 83 65 56 77 89 70 53 64 17 8 40 61 46 51 45 39 29 54 76 53 56 27 
49 24 52 75 34 92 1 55 91 98 20 81 79 32 45 41 88 100 26 0 18 79 33 72 64 4 64 57 35 70 99 31 2 41 46 25 10 61 52 12 35 32 78 89 94 85 23 40 30 56 41 37 19 7 95 42 7 20 40 93 68 25 19 29 59 53 88 43 66 40 50 25 85 29 29 
17 33 53 42 55 14 63 97 61 16 5 100 37 81 99 33 88 85 41 18 0 79 48 14 60 41 29 7 44 1 99 75 35 71 95 25 34 72 77 58 54 96 38 28 68 60 24 45 38 29 51 22 16 37 85 44 3 37 9 54 93 30 34 81 26 48 41 68 13 28 59 79 6 62 80 
16 50 58 41 53 37 52 88 27 63 56 84 95 81 98 66 66 14 62 79 79 0 81 16 54 80 65 85 50 55 4 94 60 77 100 75 9 72 80 6 36 38 3 20 88 50 7 57 34 39 5 2 75 85 71 34 85 93 66 58 32 43 38 72 68 22 70 1 48 95 76 86 13 33 45 
97 82 22 56 48 25 19 36 77 75 60 99 75 54 23 36 44 89 54 33 48 81 0 86 37 100 2 76 3 79 53 83 94 96 46 34 62 55 44 54 59 24 16 85 41 15 7 27 1 43 84 35 53 91 16 98 24 66 63 91 20 85 96 79 13 62 24 29 47 91 91 4 22 28 4 
85 70 79 18 16 27 85 69 7 29 98 19 91 100 86 87 100 21 11 72 14 16 86 0 96 6 24 83 8 86 80 4 49 42 73 86 34 48 78 72 94 23 93 25 80 96 90 3 65 29 67 30 47 18 1 80 71 79 74 60 81 73 80 41 35 45 89 17 60 49 39 82 42 61 50 
73 7 57 44 94 81 81 69 12 14 69 52 17 80 69 41 32 34 80 64 60 54 37 96 0 92 91 20 3 58 54 62 74 87 76 39 87 15 90 81 44 28 24 94 42 4 57 59 84 96 42 59 57 83 7 37 13 99 82 58 19 50 62 57 53 60 68 35 53 55 24 78 76 40 34 
37 56 63 44 43 22 23 13 49 19 69 18 15 51 91 36 60 70 96 4 41 80 100 6 92 0 5 42 42 34 44 91 93 52 63 71 5 24 62 41 94 30 73 36 26 33 46 89 58 43 71 37 25 67 7 56 51 97 71 87 29 97 45 49 70 67 84 100 72 18 96 51 91 67 4 
94 91 63 66 2 6 8 68 70 35 72 58 99 46 98 19 39 45 73 64 29 65 2 24 91 5 0 33 88 94 23 63 94 10 73 63 86 30 86 31 67 12 49 25 35 52 52 22 69 38 46 70 67 17 3 34 76 87 48 10 49 27 60 45 63 86 1 58 57 93 2 49 26 38 11 
17 51 90 39 64 36 98 10 31 25 9 38 75 21 73 94 56 35 62 57 7 85 76 83 20 42 33 0 47 91 89 8 34 88 74 30 43 90 73 76 52 12 24 95 61 38 24 87 11 7 7 98 82 89 97 55 12 12 54 66 21 83 62 46 71 40 59 41 11 31 6 71 12 49 41 
96 40 69 99 84 40 16 22 94 27 23 39 29 82 100 79 92 24 44 35 44 50 3 8 3 42 88 47 0 4 64 98 38 84 81 85 43 67 35 21 41 55 54 83 1 15 19 9 69 68 89 5 45 26 34 31 51 77 9 87 80 3 8 26 12 19 7 82 58 19 59 95 68 49 28 
63 20 76 57 32 96 45 92 4 89 16 51 20 73 92 84 34 76 43 70 1 55 79 86 58 34 94 91 4 0 35 52 4 86 39 10 61 88 45 91 95 81 49 68 8 64 51 78 9 54 57 99 41 2 12 53 96 48 9 20 92 76 77 11 36 8 39 24 67 49 24 17 83 5 11 
55 30 53 75 50 31 45 45 50 19 66 64 53 74 71 32 48 12 70 99 99 4 53 80 54 44 23 89 64 35 0 24 91 91 98 79 62 57 62 78 38 54 96 28 22 52 98 29 42 94 8 3 35 11 68 5 89 22 16 60 67 17 73 99 91 69 64 42 51 57 88 30 84 49 28 
53 31 73 65 8 96 29 82 91 11 78 72 37 60 44 41 34 38 94 31 75 94 83 4 62 91 63 8 98 52 24 0 12 51 43 24 21 33 64 99 75 94 98 6 93 20 37 80 33 6 67 6 97 51 16 80 21 3 30 14 88 66 46 17 12 55 21 32 71 91 42 27 88 66 83 
68 94 97 62 47 39 71 39 77 56 18 72 61 53 59 34 56 66 27 2 35 60 94 49 74 93 94 34 38 4 91 12 0 87 9 86 44 71 5 87 13 22 9 47 94 91 92 48 38 47 58 39 77 83 46 89 2 46 67 36 9 53 93 81 65 51 67 50 46 83 27 39 94 22 94 
100 75 96 7 59 90 59 10 90 48 41 19 65 76 27 90 4 67 13 41 71 77 96 42 87 52 10 88 84 86 91 51 87 0 4 1 79 40 47 5 98 86 9 87 18 18 7 50 85 10 79 33 28 22 76 71 84 3 90 29 27 60 73 16 51 33 59 40 26 44 31 16 51 34 88 
26 19 74 13 38 99 6 63 18 93 40 48 47 4 32 16 40 59 30 46 95 100 46 73 76 63 73 74 81 39 98 43 9 4 0 25 88 67 89 90 52 29 12 90 18 84 11 81 100 25 100 66 6 94 55 55 99 65 64 2 26 56 29 65 61 100 86 100 49 40 10 73 80 76 64 
65 24 16 73 30 42 16 16 37 58 60 1 53 94 42 30 49 28 99 25 25 75 34 86 39 71 63 30 85 10 79 24 86 1 25 0 14 23 9 32 96 44 94 41 4 19 14 46 2 55 75 17 19 39 49 73 93 40 72 69 60 18 97 27 46 21 24 76 75 2 21 53 69 42 62 
9 33 79 15 88 40 75 21 28 55 89 42 99 43 3 22 5 47 57 10 34 9 62 34 87 5 86 43 43 61 62 21 44 79 88 14 0 84 58 45 18 1 66 38 44 85 52 29 70 66 56 82 92 55 20 77 49 73 42 70 19 45 12 73 68 36 30 100 75 94 36 63 75 15 66 
4 30 8 93 52 54 93 71 20 73 8 95 6 41 84 63 10 8 39 61 72 72 55 48 15 24 30 90 67 88 57 33 71 40 67 23 84 0 31 89 93 56 82 51 94 53 81 63 84 40 92 80 42 94 80 2 85 58 60 57 21 55 36 80 55 99 99 64 44 28 44 22 85 48 100 
18 44 77 15 27 18 35 21 72 93 65 55 67 94 65 76 1 13 1 52 77 80 44 78 90 62 86 73 35 45 62 64 5 47 89 9 58 31 0 11 93 72 3 60 40 87 45 27 57 7 91 24 66 96 89 16 46 71 32 32 36 44 36 94 88 93 57 46 30 70 32 68 30 63 52 
68 86 3 31 58 82 68 11 67 88 72 78 46 65 39 72 48 16 93 12 58 6 54 72 81 41 31 76 21 91 78 99 87 5 90 32 45 89 11 0 38 71 11 79 12 70 44 20 93 10 33 28 92 81 22 87 88 21 73 79 15 25 30 83 18 17 71 27 37 94 75 29 36 55 19 
61 9 83 63 7 79 80 98 88 39 70 84 41 96 67 34 10 58 18 35 54 36 59 94 44 94 67 52 41 95 38 75 13 98 52 96 18 93 93 38 0 53 29 57 26 49 42 78 41 93 59 72 72 39 93 32 63 55 15 75 57 100 17 6 66 83 76 2 64 34 3 66 61 77 82 
12 55 36 28 34 41 63 28 78 18 41 43 1 1 59 77 55 36 31 32 96 38 24 23 28 30 12 12 55 81 54 94 22 86 29 44 1 56 72 71 53 0 57 78 29 38 46 92 88 100 97 14 60 68 98 81 44 60 67 96 48 23 33 37 43 30 97 25 17 32 1 30 6 55 59 
39 2 24 44 42 81 96 19 60 64 29 30 89 55 14 80 70 67 80 78 38 3 16 93 24 73 49 24 54 49 96 98 9 9 12 94 66 82 3 11 29 57 0 4 79 98 79 48 13 76 18 83 1 21 98 76 59 81 89 44 57 22 57 34 89 17 84 84 59 93 72 60 12 59 4 
69 34 96 72 4 43 12 80 35 13 94 31 62 35 59 27 7 92 44 89 28 20 85 25 94 36 25 95 83 68 28 6 47 87 90 41 38 51 60 79 57 78 4 0 49 25 50 86 11 37 91 41 18 46 10 61 60 99 71 75 35 34 59 6 74 60 89 90 35 36 76 83 93 22 59 
71 91 74 28 14 55 97 73 51 42 42 47 26 14 25 30 96 4 95 94 68 88 41 80 42 26 35 61 1 8 22 93 94 18 18 4 44 94 40 12 26 29 79 49 0 69 6 32 21 62 68 17 17 84 53 15 72 92 69 17 61 14 50 88 16 59 20 36 2 27 10 90 25 85 39 
100 45 98 2 29 43 5 69 69 42 97 63 21 45 19 26 20 85 75 85 60 50 15 96 4 33 52 38 15 64 52 20 91 18 84 19 85 53 87 70 49 38 98 25 69 0 15 7 36 48 8 89 44 66 72 39 17 61 100 25 52 18 21 33 80 84 47 25 62 43 31 87 51 89 79 
39 12 53 64 9 50 89 46 32 21 7 72 69 22 59 58 48 83 39 23 24 7 7 90 57 46 52 24 19 51 98 37 92 7 11 14 52 81 45 44 42 46 79 50 6 15 0 85 64 19 35 20 25 97 59 58 73 11 56 12 9 94 97 39 38 100 91 96 56 81 95 20 17 67 65 
54 77 71 86 53 52 98 52 2 36 94 73 17 17 29 12 26 39 97 40 45 57 27 3 59 89 22 87 9 78 29 80 48 50 81 46 29 63 27 20 78 92 48 86 32 7 85 0 16 14 47 90 65 34 23 91 33 92 51 86 79 74 25 66 89 36 76 46 16 17 23 36 61 17 58 
89 16 9 11 41 100 98 8 55 5 38 86 100 93 14 13 83 84 52 30 38 34 1 65 84 58 69 11 69 9 42 33 38 85 100 2 70 84 57 93 41 88 13 11 21 36 64 16 0 28 63 14 6 91 60 39 42 68 45 23 95 61 21 65 70 58 70 71 75 62 37 41 2 57 73 
23 51 38 18 7 32 98 6 37 58 100 91 99 86 48 85 93 26 97 56 29 39 43 29 96 43 38 7 68 54 94 6 47 10 25 55 66 40 7 10 93 100 76 37 62 48 19 14 28 0 3 60 58 33 98 82 84 34 37 72 90 76 27 19 87 71 20 84 83 18 91 67 60 81 22 
69 7 30 9 42 26 37 81 17 71 85 48 29 37 5 1 24 65 12 41 51 5 84 67 42 71 46 7 89 57 8 67 58 79 100 75 56 92 91 33 59 97 18 91 68 8 35 47 63 3 0 52 3 90 100 48 89 76 79 58 25 75 7 100 31 72 42 18 40 8 16 33 10 30 23 
62 48 40 9 91 53 80 19 20 8 85 48 78 76 14 10 72 43 40 37 22 2 35 30 59 37 70 98 5 99 3 6 39 33 66 17 82 80 24 28 72 14 83 41 17 89 20 90 14 60 52 0 67 40 100 43 16 37 7 96 77 86 84 33 10 43 98 93 83 21 53 86 24 38 57 
56 88 25 23 40 42 49 5 35 69 42 73 69 75 77 38 34 42 46 19 16 75 53 47 57 25 67 82 45 41 35 97 77 28 6 19 92 42 66 92 72 60 1 18 17 44 25 65 6 58 3 67 0 84 21 19 77 100 28 75 95 2 46 9 41 81 46 53 25 46 55 23 68 30 68 
57 97 11 77 93 51 91 96 53 51 16 37 62 61 85 30 35 51 83 7 37 85 91 18 83 67 17 89 26 2 11 51 83 22 94 39 55 94 96 81 39 68 21 46 84 66 97 34 91 33 90 40 84 0 21 71 17 76 14 39 91 23 75 97 22 78 55 25 1 67 83 4 1 90 61 
43 99 23 56 88 58 59 65 63 11 47 66 81 66 47 41 98 43 65 95 85 71 16 1 7 7 3 97 34 12 68 16 46 76 55 49 20 80 89 22 93 98 98 10 53 72 59 23 60 98 100 100 21 21 0 32 99 91 24 84 90 9 92 39 20 7 59 74 76 22 34 62 26 44 99 
25 8 75 85 29 47 46 82 15 50 69 39 8 94 5 6 98 18 56 42 44 34 98 80 37 56 34 55 31 53 5 80 89 71 55 73 77 2 16 87 32 81 76 61 15 39 58 91 39 82 48 43 19 71 32 0 40 77 72 59 73 96 89 79 82 96 59 41 38 83 89 97 57 5 44 
84 48 41 86 65 24 38 54 69 31 56 67 59 13 57 19 2 43 77 7 3 85 24 71 13 51 76 12 51 96 89 21 2 84 99 93 49 85 46 88 63 44 59 60 72 17 73 33 42 84 89 16 77 17 99 40 0 57 28 96 20 27 39 39 27 87 95 56 77 83 56 42 41 2 35 
86 23 46 80 86 14 36 36 84 87 97 49 86 53 22 61 83 37 89 20 37 93 66 79 99 97 87 12 77 48 22 3 46 3 65 40 73 58 71 21 55 60 81 99 92 61 11 92 68 34 76 37 100 76 91 77 57 0 74 23 2 21 65 46 21 4 92 69 1 7 61 51 49 85 42 
61 15 55 13 53 39 7 26 31 50 80 80 14 39 18 22 46 92 70 40 9 66 63 74 82 71 48 54 9 9 16 30 67 90 64 72 42 60 32 73 15 67 89 71 69 100 56 51 45 37 79 7 28 14 24 72 28 74 0 84 3 92 5 60 12 53 42 71 25 92 46 33 56 21 20 
34 24 53 80 20 27 94 86 66 72 45 8 72 88 100 20 97 16 53 93 54 58 91 60 58 87 10 66 87 20 60 14 36 29 2 69 70 57 32 79 75 96 44 75 17 25 12 86 23 72 58 96 75 39 84 59 96 23 84 0 45 89 78 70 55 19 38 44 65 71 24 73 8 88 53 
14 33 93 83 68 21 59 75 88 95 84 65 65 15 47 91 26 56 64 68 93 32 20 81 19 29 49 21 80 92 67 88 9 27 26 60 19 21 36 15 57 48 57 35 61 52 9 79 95 90 25 77 95 91 90 73 20 2 3 45 0 30 54 45 94 36 1 31 38 16 43 62 50 37 63 
70 79 77 59 53 47 38 16 89 17 89 83 75 34 16 57 57 63 17 25 30 43 85 73 50 97 27 83 3 76 17 66 53 60 56 18 45 55 44 25 100 23 22 34 14 18 94 74 61 76 75 86 2 23 9 96 27 21 92 89 30 0 43 63 85 86 33 57 96 96 60 71 92 53 12 
80 100 23 3 3 70 55 30 35 39 75 27 64 35 73 49 54 4 8 19 34 38 96 80 62 45 60 62 8 77 73 46 93 73 29 97 12 36 36 30 17 33 57 59 50 21 97 25 21 27 7 84 46 75 92 89 39 65 5 78 54 43 0 70 58 29 76 66 26 44 88 14 61 83 12 
5 42 10 82 80 3 84 93 33 13 100 62 48 6 91 70 60 29 40 29 81 72 79 41 57 49 45 46 26 11 99 17 81 16 65 27 73 80 94 83 6 37 34 6 88 33 39 66 65 19 100 33 9 97 39 79 39 46 60 70 45 63 70 0 100 79 37 15 30 64 44 66 83 29 94 
1 69 24 48 97 67 31 66 53 1 18 74 87 69 98 80 25 29 61 59 26 68 13 35 53 70 63 71 12 36 91 12 65 51 61 46 68 55 88 18 66 43 89 74 16 80 38 89 70 87 31 10 41 22 20 82 27 21 12 55 94 85 58 100 0 61 39 81 52 72 48 46 37 67 6 
20 18 14 54 18 78 61 6 54 92 63 77 55 73 35 17 51 94 46 53 48 22 62 45 60 67 86 40 19 8 69 55 51 33 100 21 36 99 93 17 83 30 17 60 59 84 100 36 58 71 72 43 81 78 7 96 87 4 53 19 36 86 29 79 61 0 59 59 89 93 85 21 20 73 82 
97 34 94 69 74 36 10 97 82 62 40 85 24 100 32 50 43 7 51 88 41 70 24 89 68 84 1 59 7 39 64 21 67 59 86 24 30 99 57 71 76 97 84 89 20 47 91 76 70 20 42 98 46 55 59 59 95 92 42 38 1 33 76 37 39 59 0 59 95 36 90 11 71 94 52 
37 82 71 50 49 78 100 36 74 38 52 32 18 34 72 77 30 32 45 43 68 1 29 17 35 100 58 41 82 24 42 32 50 40 100 76 100 64 46 27 2 25 84 90 36 25 96 46 71 84 18 93 53 25 74 41 56 69 71 44 31 57 66 15 81 59 59 0 45 18 69 29 80 59 61 
81 71 91 13 1 65 76 85 83 12 7 69 45 27 37 67 93 89 39 66 13 48 47 60 53 72 57 11 58 67 51 71 46 26 49 75 75 44 30 37 64 17 59 35 2 62 56 16 75 83 40 83 25 1 76 38 77 1 25 65 38 96 26 30 52 89 95 45 0 13 89 71 26 80 99 
96 59 8 46 75 39 57 21 33 67 23 58 54 72 56 90 26 30 29 40 28 95 91 49 55 18 93 31 19 49 57 91 83 44 40 2 94 28 70 94 34 32 93 36 27 43 81 17 62 18 8 21 46 67 22 83 83 7 92 71 16 96 44 64 72 93 36 18 13 0 99 22 20 84 72 
31 30 25 100 54 52 95 42 65 84 21 45 89 78 14 3 59 3 54 50 59 76 91 39 24 96 2 6 59 24 88 42 27 31 10 21 36 44 32 75 3 1 72 76 10 31 95 23 37 91 16 53 55 83 34 89 56 61 46 24 43 60 88 44 48 85 90 69 89 99 0 97 10 88 43 
48 47 72 83 45 43 49 37 54 50 89 24 26 52 91 40 47 63 76 25 79 86 4 82 78 51 49 71 95 17 30 27 39 16 73 53 63 22 68 29 66 30 60 83 90 87 20 36 41 67 33 86 23 4 62 97 42 51 33 73 62 71 14 66 46 21 11 29 71 22 97 0 2 24 95 
70 53 36 72 45 31 83 62 96 52 67 84 11 59 73 96 7 15 53 85 6 13 22 42 76 91 26 12 68 83 84 88 94 51 80 69 75 85 30 36 61 6 12 93 25 51 17 61 2 60 10 24 68 1 26 57 41 49 56 8 50 92 61 83 37 20 71 80 26 20 10 2 0 98 85 
26 2 84 70 89 65 64 25 35 71 52 98 25 12 68 66 41 80 56 29 62 33 28 61 40 67 38 49 49 5 49 66 22 34 76 42 15 48 63 55 77 55 59 22 85 89 67 17 57 81 30 38 30 90 44 5 2 85 21 88 37 53 83 29 67 73 94 59 80 84 88 24 98 0 36 
2 54 21 4 73 21 33 54 25 34 58 66 33 81 68 67 91 69 27 29 80 45 4 50 34 4 11 41 28 11 28 83 94 88 64 62 66 100 52 19 82 59 4 59 39 79 65 58 73 22 23 57 68 61 99 44 35 42 20 53 63 12 12 94 6 82 52 61 99 72 43 95 85 36 0 
